Name,ExpressionScript
Sanitize Addition,CIP_50_Recipe == 6 && CIP_50_Step == 4
Sanitize Circulation,CIP_50_Recipe == 6 && CIP_50_Step == 4
Sanitize Circulation,CIP_50_Recipe == 6 && CIP_50_Step != 4
Soak,CIP_50_Recipe == 4 && CIP_50_Step == 4
Soak,CIP_50_Recipe == 4 && CIP_50_Step != 4
Soak Addition,CIP_50_Recipe == 4 && CIP_50_Step >= 2 && CIP_50_Step <= 3
Soak Addition,CIP_50_Recipe == 4 && CIP_50_Step == 4
Sanitize Circulation,CIP_50_Recipe == 6 && CIP_50_Step == 4
Sanitize Circulation,CIP_50_Recipe == 6 && CIP_50_Step != 4
Soak,CIP_50_Recipe == 4 && CIP_50_Step == 4
Soak,CIP_50_Recipe == 4 && CIP_50_Step != 4
Soak Addition,CIP_50_Recipe == 4 && CIP_50_Step >= 2 && CIP_50_Step <= 3
Soak Addition,CIP_50_Recipe != 4 && CIP_50_Step != 4
Wash 1 Circulation,CIP_50_Recipe == 2 && CIP_50_Step == 8
Wash 1 Circulation,CIP_50_Step != 8
Wash 2 Addition and Heat to Temperature,CIP_50_Recipe == 2 && CIP_50_Step >= 16 && CIP_50_Step <= 18 || CIP_50_Recipe == 3 && CIP_50_Step >= 5 && CIP_50_Step <= 7
Wash 2 Addition and Heat to Temperature,CIP_50_Recipe == 2 && CIP_50_Step == 19 || CIP_50_Recipe == 3 && CIP_50_Step == 8
Wash 2 Circulation,CIP_50_Recipe == 2 && CIP_50_Step == 19 || CIP_50_Recipe == 3 && CIP_50_Step == 8
Wash 2 Circulation,CIP_50_Step != 19 && CIP_50_Step != 8
Wash 3 Addition and Heat to Temperature,CIP_50_Recipe == 2 && CIP_50_Step >= 27 && CIP_50_Step <= 29
Wash 3 Addition and Heat to Temperature,CIP_50_Recipe == 2 && CIP_50_Step == 30
Wash 3 Circulation,CIP_50_Recipe == 2 && CIP_50_Step == 30
Wash 3 Circulation,CIP_50_Step != 30
Wash 4 Addition and Heat to Temperature,CIP_50_Recipe == 2 && CIP_50_Step >= 38 && CIP_50_Step <= 40
Wash 4 Addition and Heat to Temperature,CIP_50_Recipe == 2 && CIP_50_Step == 41
Wash 4 Circulation,CIP_50_Recipe == 2 && CIP_50_Step == 41
Wash 4 Circulation,CIP_50_Step != 41
Wash 4 Addition and Heat to Temperature,CIP_50_Recipe == 2 && CIP_50_Step >= 38 && CIP_50_Step <= 40
Wash 4 Addition and Heat to Temperature,CIP_50_Recipe == 2 && CIP_50_Step == 41
Wash 4 Circulation,CIP_50_Recipe == 2 && CIP_50_Step == 41
Wash 4 Circulation,CIP_50_Step != 41
Flux Test,CIP_51_Recipe == 2 && CIP_51_Step >= 105 && CIP_51_Step <= 109
Flux Test,CIP_51_Recipe != 2 && CIP_51_Step <= 105 && CIP_51_Step >= 109
Fresh Water Rinse to Drain,CIP_51_Recipe == 2 && CIP_51_Step >= 2 && CIP_51_Step <= 11 || CIP_51_Recipe == 2 && CIP_51_Step >= 25 && CIP_51_Step <= 34 || CIP_51_Recipe == 2 && CIP_51_Step >= 48 && CIP_51_Step <= 57 || CIP_51_Recipe == 2 && CIP_51_Step >= 71 && CIP_51_Step <= 80 || CIP_51_Recipe == 2 && CIP_51_Step >= 94 && CIP_51_Step <= 103 || CIP_51_Recipe == 3 && CIP_51_Step >= 2 && CIP_51_Step <= 11 || CIP_51_Recipe == 3 && CIP_51_Step >= 25 && CIP_51_Step <= 34 || CIP_51_Recipe == 4 && CIP_51_Step >= 12 && CIP_51_Step <= 21 || CIP_51_Recipe == 5 && CIP_51_Step >= 2 && CIP_51_Step <= 11 || CIP_51_Recipe == 6 && CIP_51_Step >= 12 && CIP_51_Step <= 21
Fresh Water Rinse to Drain,CIP_51_Recipe != 2 && CIP_51_Step <= 2 && CIP_51_Step >= 11 || CIP_51_Recipe != 2 && CIP_51_Step <= 25 && CIP_51_Step >= 34 || CIP_51_Recipe != 2 && CIP_51_Step <= 48 && CIP_51_Step >= 57 || CIP_51_Recipe != 2 && CIP_51_Step <= 71 && CIP_51_Step >= 80 || CIP_51_Recipe != 2 && CIP_51_Step <= 94 && CIP_51_Step >= 103 || CIP_51_Recipe != 3 && CIP_51_Step <= 2 && CIP_51_Step >= 11 || CIP_51_Recipe != 3 && CIP_51_Step <= 25 && CIP_51_Step >= 34 || CIP_51_Recipe != 4 && CIP_51_Step <= 12 && CIP_51_Step >= 21 || CIP_51_Recipe != 5 && CIP_51_Step <= 2 && CIP_51_Step >= 11 || CIP_51_Recipe != 6 && CIP_51_Step <= 12 && CIP_51_Step >= 21
Sanitize Addition,CIP_51_Recipe == 6 && CIP_51_Step >= 4 && CIP_51_Step <= 5
Sanitize Addition,CIP_51_Recipe == 6 && CIP_51_Step >= 4 && CIP_51_Step <= 5
Wash 1 Addition and Heat to Temperature,CIP_51_Recipe == 2 && CIP_51_Step >= 16 && CIP_51_Step <= 18
Wash 1 Addition and Heat to Temperature,CIP_51_Step == 19 && CIP_51_Step_Timer_Timing == 1 || CIP_51_Step > 19
Wash 1 Circulation,CIP_51_Recipe == 2 && CIP_51_Step == 19 && CIP_51_Step_Timer_Timing == true
Wash 1 Circulation,CIP_51_Step != 19
Wash 2 Addition and Heat to Temperature,CIP_51_Recipe == 2 && CIP_51_Step >= 39 && CIP_51_Step <= 41 || CIP_51_Recipe == 3 && CIP_51_Step >= 16 && CIP_51_Step <= 18
Wash 2 Addition and Heat to Temperature,CIP_51_Step == 42 && CIP_51_Step_Timer_Timing == 1 || CIP_51_Step == 19 && CIP_51_Step_Timer_Timing == true
Wash 2 Circulation,CIP_51_Recipe == 2 && CIP_51_Step == 42 && CIP_51_Step_Timer_Timing == 1 || CIP_51_Recipe == 3 && CIP_51_Step == 19 && CIP_51_Step_Timer_Timing == true
Wash 2 Circulation,CIP_51_Step != 42 && CIP_51_Step != 19
Wash 3 Addition and Heat to Temperature,CIP_51_Recipe == 2 && CIP_51_Step >= 62 && CIP_51_Step <= 64
Wash 3 Addition and Heat to Temperature,CIP_51_Step == 65 && CIP_51_Step_Timer_Timing == true
Wash 3 Circulation,CIP_51_Recipe == 2 && CIP_51_Step == 65 && CIP_51_Step_Timer_Timing == true
Wash 3 Circulation,CIP_51_Step != 65
Wash 4 Addition and Heat to Temperature,CIP_51_Recipe == 2 && CIP_51_Step >= 85 && CIP_51_Step <= 87
Wash 4 Addition and Heat to Temperature,CIP_51_Recipe != 2 && CIP_51_Step <= 85 && CIP_51_Step >= 87
Wash 4 Circulation,CIP_51_Recipe == 2 && CIP_51_Step == 88
Wash 4 Circulation,CIP_51_Recipe != 2 && CIP_51_Step != 88
Chemical 1 Addition and Heat to Temperature,CIP_52_Recipe == 2 && CIP_52_Step >= 13 && CIP_52_Step <= 15
Chemical 1 Addition and Heat to Temperature,CIP_52_Step == 16 && CIP_52_Step_Timer_Timing == true
Chemical 1 Circulation,CIP_52_Recipe == 2 && CIP_52_Step == 16 && CIP_52_Step_Timer_Timing == true
Chemical 1 Circulation,CIP_52_Step != 16
Chemical 2 Addition and Heat to Temperature,CIP_52_Recipe == 2 && CIP_52_Step >= 33 && CIP_52_Step <= 35 || CIP_52_Recipe == 3 && CIP_52_Step >= 13 && CIP_52_Step <= 15
Chemical 2 Addition and Heat to Temperature,CIP_52_Step == 36 && CIP_52_Step_Timer_Timing == 1 || CIP_52_Step == 16 && CIP_52_Step_Timer_Timing == true
Chemical 2 Circulation,CIP_52_Recipe == 2 && CIP_52_Step == 36 && CIP_52_Step_Timer_Timing == 1 || CIP_52_Recipe == 3 && CIP_52_Step == 16 && CIP_52_Step_Timer_Timing == true
Chemical 2 Circulation,CIP_52_Step != 36 && CIP_52_Step != 16
Chemical 3 Addition and Heat to Temperature,CIP_52_Recipe == 2 && CIP_52_Step >= 53 && CIP_52_Step <= 55
Chemical 3 Addition and Heat to Temperature,CIP_52_Step == 56 && CIP_52_Step_Timer_Timing == true
Chemical 3 Circulation,CIP_52_Recipe == 2 && CIP_52_Step == 56 && CIP_52_Step_Timer_Timing == true
Chemical 3 Circulation,CIP_52_Step != 56
Chemical 4 Addition and Heat to Temperature,CIP_52_Recipe == 2 && CIP_52_Step >= 73 && CIP_52_Step <= 75
Chemical 4 Addition and Heat to Temperature,CIP_52_Step == 76 && CIP_52_Step_Timer_Timing == true
Chemical 4 Circulation,CIP_52_Recipe == 2 && CIP_52_Step == 76 && CIP_52_Step_Timer_Timing == true
Chemical 4 Circulation,CIP_52_Step != 76
Chemical 5 Addition and Heat to Temperature,CIP_52_Recipe == 2 && CIP_52_Step >= 93 && CIP_52_Step <= 95
Chemical 5 Addition and Heat to Temperature,CIP_52_Step == 96 && CIP_52_Step_Timer_Timing == true
Chemical 5 Circulation,CIP_52_Recipe == 2 && CIP_52_Step == 96 && CIP_52_Step_Timer_Timing == true
Chemical 5 Circulation,CIP_52_Step != 96
Flux Test,CIP_52_Recipe == 2 && CIP_52_Step >= 110 && CIP_52_Step <= 114
Flux Test,CIP_52_Recipe != 2 && CIP_52_Step <= 110 && CIP_52_Step >= 114
Fresh Water Rinse to Drain,CIP_52_Recipe == 2 && CIP_52_Step >= 2 && CIP_52_Step <= 8 || CIP_52_Recipe == 2 && CIP_52_Step >= 22 && CIP_52_Step <= 28 || CIP_52_Recipe == 2 && CIP_52_Step >= 42 && CIP_52_Step <= 48 || CIP_52_Recipe == 2 && CIP_52_Step >= 62 && CIP_52_Step <= 68 || CIP_52_Recipe == 2 && CIP_52_Step >= 82 && CIP_52_Step <= 88 || CIP_52_Recipe == 2 && CIP_52_Step >= 102 && CIP_52_Step <= 108 || CIP_52_Recipe == 3 && CIP_52_Step >= 2 && CIP_52_Step <= 8 || CIP_52_Recipe == 3 && CIP_52_Step >= 22 && CIP_52_Step <= 28 || CIP_52_Recipe == 4 && CIP_52_Step >= 12 && CIP_52_Step <= 18 || CIP_52_Recipe == 5 && CIP_52_Step >= 2 && CIP_52_Step <= 8 || CIP_52_Recipe == 6 && CIP_52_Step >= 12 && CIP_52_Step <= 18
Fresh Water Rinse to Drain,CIP_52_Recipe != 2 && CIP_52_Step <= 2 && CIP_52_Step >= 8 || CIP_52_Recipe != 2 && CIP_52_Step <= 22 && CIP_52_Step >= 28 || CIP_52_Recipe != 2 && CIP_52_Step <= 42 && CIP_52_Step >= 48 || CIP_52_Recipe != 2 && CIP_52_Step <= 62 && CIP_52_Step >= 68 || CIP_52_Recipe != 2 && CIP_52_Step <= 82 && CIP_52_Step >= 88 || CIP_52_Recipe != 2 && CIP_52_Step <= 102 && CIP_52_Step >= 108 || CIP_52_Recipe != 3 && CIP_52_Step <= 2 && CIP_52_Step >= 8 || CIP_52_Recipe != 3 && CIP_52_Step <= 22 && CIP_52_Step >= 28 || CIP_52_Recipe != 4 && CIP_52_Step <= 12 && CIP_52_Step >= 18 || CIP_52_Recipe != 5 && CIP_52_Step <= 2 && CIP_52_Step >= 8 || CIP_52_Recipe != 6 && CIP_52_Step <= 12 && CIP_52_Step >= 18
Sanitize Addition,CIP_52_Recipe == 6 && CIP_52_Step >= 4 && CIP_52_Step <= 5
Sanitize Addition,CIP_52_Recipe != 6 && CIP_52_Step <= 4 && CIP_52_Step >= 5
Soak Circulation,CIP_52_Recipe == 4 && CIP_52_Step >= 6 && CIP_52_Step <= 8
Soak Circulation,CIP_52_Recipe != 4 && CIP_52_Step <= 6 && CIP_52_Step >= 8
Acid Circulation,CIP_38_Acid_Seq == true
Acid Circulation,CIP_38_Acid_Seq != true
Caustic Circulation,CIP_38_Caustic_Seq == true
Caustic Circulation,CIP_38_Caustic_Seq != true
Fresh Water Rinse,CIP_38_Pre_Rinse_Seq == true || CIP_38_Rinse_Seq == true || CIP_38_Final_Rinse_Seq == true
Fresh Water Rinse,CIP_38_Pre_Rinse_Seq != true || CIP_38_Rinse_Seq != true || CIP_38_Final_Rinse_Seq != true
